Year,September,AnnualAverage
1979,7.2,12.5
1980,7.9,12.5
1981,7.3,12.3
1982,7.5,12.7
1983,7.5,12.5
1984,7.2,12.1
1985,6.9,12.2
1986,7.5,12.4
1987,7.5,12.3
1988,7.5,12.1
1989,7.0,12.1
1990,6.2,11.9
1991,6.6,11.9
1992,7.6,12.2
1993,6.5,12.1
1994,7.2,12.2
1995,6.1,11.6
1996,7.9,11.9
1997,6.7,11.8
1998,6.6,11.9
1999,6.2,11.9
2000,6.3,11.7
2001,6.8,11.8
2002,6.0,11.6
2003,6.2,11.6
2004,6.1,11.4
2005,5.6,11.1
2006,5.9,11.0
2007,4.3,10.7
2008,4.7,11.2
2009,5.4,11.2
2010,4.9,10.9
2011,4.6,NA
2012,3.6,NA
2013,5.3,NA
2014,5.3,NA
2015,4.7,NA
2016,4.7,NA